%time value spike threshold
7049.600000 1.181580 nan -18.190455
7049.700000 7.434285 nan -18.190455
7049.800000 11.604495 nan -18.190455
7049.900000 2.433450 nan -18.190455
7050.000000 -1.726760 nan -18.190455
7050.100000 11.606160 nan -18.190455
7050.200000 13.278240 nan -18.190455
7050.300000 6.609700 nan -18.190455
7050.400000 4.531365 nan -18.190455
7050.500000 7.442200 nan -18.190455
7050.600000 9.531780 nan -18.190455
7050.700000 -0.886135 nan -18.190455
7050.800000 -2.134680 nan -18.190455
7050.900000 2.028240 nan -18.190455
7051.000000 2.850535 nan -18.190455
7051.100000 1.596575 nan -18.190455
7051.200000 -1.324675 nan -18.190455
7051.300000 4.514910 nan -18.190455
7051.400000 4.513245 nan -18.190455
7051.500000 5.343660 nan -18.190455
7051.600000 8.674080 nan -18.190455
7051.700000 6.595745 nan -18.190455
7051.800000 5.343665 nan -18.190455
7051.900000 5.756790 nan -18.190455
7052.000000 12.832415 nan -18.190455
7052.100000 16.159710 nan -18.190455
7052.200000 9.074710 nan -18.190455
7052.300000 2.822005 nan -18.190455
7052.400000 1.150545 nan -18.190455
7052.500000 0.744295 nan -18.190455
7052.600000 -3.845705 nan -18.190455
7052.700000 5.743460 nan -18.190455
7052.800000 1.155335 nan -18.190455
7052.900000 4.076165 nan -18.190455
7053.000000 1.994500 nan -18.190455
7053.100000 4.904710 nan -18.190455
7053.200000 7.402625 nan -18.190455
7053.300000 8.653040 nan -18.190455
7053.400000 7.822000 nan -18.190455
7053.500000 12.822415 nan -18.190455
7053.600000 9.492205 nan -18.190455
7053.700000 5.319910 nan -18.190455
7053.800000 0.738455 nan -18.190455
7053.900000 -3.013835 nan -18.190455
7054.000000 -3.435085 nan -18.190455
7054.100000 0.314290 nan -18.190455
7054.200000 4.066165 nan -18.190455
7054.300000 7.817000 nan -18.190455
7054.400000 1.150330 nan -18.190455
7054.500000 -0.095710 nan -18.190455
7054.600000 1.996580 nan -18.190455
7054.700000 6.159285 nan -18.190455
7054.800000 10.335745 nan -18.190455
7054.900000 7.420330 nan -18.190455
7055.000000 14.513870 nan -18.190455
7055.100000 8.675950 nan -18.190455
7055.200000 1.598655 nan -18.190455
7055.300000 4.520115 nan -18.190455
7055.400000 2.849700 nan -18.190455
